id,product_name,region,sales_amount,date,quantity,category,customer_id,profit
10390,Keyboard,West,-4563.85,11/27/2025,4,Clothing,C1115,-784.17
6643,Keyboard,,4318.17,4/6/2024,1,Accessories,C1284,1367.95
5851,Camera,West,945.48,1/9/2025,3,Office Supplies,C1463,311.86
6196,Headphones,east,4268.66,5/11/2025,4,Office Supplies,C1420,953.1
32015,Monitor, SOUTH,4453.01,6/5/2024,4,Office Supplies,C1399,867.13
15746,Camera,North,2799.01,1/9/2025,3,Furniture,C1226,569.5
45914,Camera,East,779.79,11/15/2025,1,Furniture,C1440,240.47
29104,Printer,South,493.92,1/6/2025,5,Electronics,C1284,151.05
42768,Printer,West ,3037.7,10/21/2024,3,Electronics,C1198,567.14
21068,Keyboard,North,4097.87,12/22/2025,1,Clothing,C1308,1272.13
41547,Keyboard,West ,3156.49,2/9/2025,4,Furniture,C1334,732.42
26820,Mobile,North,845.53,9/1/2024,5,Clothing,C1257,95.43
44017,Tablet,North,1752.98,11/4/2025,5,Electronics,C1037,302.47
47841,Printer,east,4456.5,10/9/2024,3,Office Supplies,C1228,1334.64
14340,Headphones,,3050.23,9/19/2025,2,Electronics,C1275,727.92
16339,Laptop,West ,4001.29,3/7/2025,1,Accessories,C1133,813.61
2755,Keyboard,Central,1618.39,,2,Furniture,C1116,382.32
10462,Smartwatch,West ,359.73,8/25/2025,5,Office Supplies,C1097,68.27
48902,Laptop,,4311.01,12/31/2025,4,Electronics,C1309,1291.01
2537,Headphones,Central,1873.6,7/4/2025,5,Furniture,C1406,555.22
8172,Mouse,east,4746.78,,5,Office Supplies,C1028,966.54
21781,Tablet,West,2913.42,2/16/2025,1,Accessories,C1476,760.23
35560,Printer,,2120.21,6/16/2025,3,Furniture,C1142,661.86
16094,Mobile, SOUTH,2108.35,8/10/2024,4,Furniture,C1458,595.48
44477,Headphones,,732.67,12/15/2024,5,Accessories,C1162,82.1
33190,Keyboard,north ,269.34,1/20/2026,5,Electronics,C1086,54.61
94,Smartwatch,,1799.11,1/24/2025,2,Accessories,C1155,548.17
40692,Mouse,East,2807.95,4/4/2026,5,Office Supplies,C1399,862.1
39607,Laptop,north ,2930.4,12/25/2024,3,Clothing,C1233,620.23
19631,Monitor,,4065.15,7/23/2025,1,Electronics,C1497,1145.96
7978,Monitor,Central,2160.8,2/9/2026,3,Office Supplies,C1427,639.32
562,Smartwatch,West ,2277.97,7/22/2025,1,Electronics,C1319,776.2
32467,Keyboard,,2672.55,3/19/2026,2,Office Supplies,C1219,380.59
12944,Smartwatch,West ,2069.84,1/10/2025,1,Accessories,C1391,298.44
22268,Headphones,,2405.57,4/10/2024,5,Electronics,C1385,824.36
8940,Laptop,North,2814.96,2/1/2025,4,Office Supplies,C1499,875.14
10409,Smartwatch,West ,2688.76,8/2/2024,5,Electronics,C1105,384.39
41929,Printer,North,1627.03,10/10/2025,4,Electronics,C1352,306.04
24748,Printer,,238.74,8/19/2025,4,Accessories,C1331,63.4
378,Camera,West,567.47,3/5/2026,2,Office Supplies,C1114,152.82
21736,Mouse,West ,1999.59,5/14/2024,3,Accessories,C1365,283.05
42942,Keyboard,West ,3837.91,9/24/2024,3,Electronics,C1139,728.89
41328,Camera,north ,2144.25,10/17/2024,1,Accessories,C1497,633.97
27777,Mouse,West,2307.62,3/17/2026,5,Electronics,C1180,491.06
1475,Headphones,Central,3911.39,11/22/2025,3,Office Supplies,C1112,842.1
11949,Printer,east,3583.23,4/15/2024,2,Electronics,C1485,525.63
42632,,South,1251.95,8/31/2024,1,Electronics,C1426,164.06
27681,Monitor,,2280.94,9/19/2024,4,Accessories,C1219,453.84
27458,Laptop,east,4117.93,9/9/2025,4,Accessories,C1021,1398.68
16417,Laptop,east,2240.48,12/21/2024,1,Clothing,C1493,550.61
39950,Mobile, SOUTH,3317.53,8/5/2024,1,Electronics,C1054,521.82
11457,Monitor,East,2591.22,3/8/2025,4,Electronics,C1279,847.77
33647,Keyboard,East,-3786.86,5/19/2025,5,Electronics,C1165,-1298.91
28815,Monitor,Central,1726.73,10/24/2025,2,Electronics,C1168,190.25
45384,Laptop,North,2832.68,11/8/2025,2,Accessories,C1457,858.43
42218,Smartwatch,Central,3278.68,12/7/2024,4,Accessories,C1179,792.38
11619,Keyboard, SOUTH,4054.14,,3,Office Supplies,C1356,721.95
24412,Mouse,east,2419.99,11/7/2024,1,Clothing,C1190,764.7
37881,Printer,north ,438.93,3/24/2025,2,Electronics,C1293,131.33
3698,Mobile,South,3058.78,12/7/2024,3,Furniture,C1266,582.51
27941,Keyboard,South,4052.7,1/24/2026,1,Clothing,C1271,996.7
25370,Mobile,North,408.91,12/31/2023,4,Clothing,C1366,80.24
38239,Camera,Central,4601.36,1/6/2026,3,Accessories,C1250,1217.17
36964,Headphones,North,3648.05,5/11/2024,2,Clothing,C1214,417.7
18025,Smartwatch,,510.83,8/18/2024,4,Furniture,C1074,99.04
35203,Mobile,West,1913.95,12/4/2025,5,Accessories,C1056,644.41
33527,Keyboard,east,5459.99,11/7/2024,5,Office Supplies,C1091,908.93
42227,Mobile,West ,2889.98,7/2/2025,1,Office Supplies,C1132,887.1
25474,Printer,North,5205.64,11/4/2025,5,Furniture,C1218,660.19
36479,Laptop,,1256.46,2/19/2025,4,Electronics,C1034,339.53
21543,Smartwatch,Central,5025.86,2/22/2025,2,Office Supplies,C1339,715.04
6092,Monitor,North,2154.78,2/6/2025,5,Office Supplies,C1200,281.22
24660,Monitor,North,4412.61,7/5/2024,3,Clothing,C1084,1486.24
32607,Monitor,,4360.17,5/26/2025,4,Clothing,C1205,877.77
4892,Tablet,Central,2936.32,1/4/2025,5,Accessories,C1168,468.65
37859,Laptop,South,3829.33,12/16/2025,4,Accessories,C1419,1166.84
49474,Tablet, SOUTH,2610.74,12/2/2024,3,Accessories,C1144,657.14
39885,Printer,South,992.64,12/19/2024,2,Accessories,C1173,251.97
49529,Keyboard,South,1141.24,10/6/2025,4,Office Supplies,C1105,255.7
40989,Laptop,West ,4685.73,12/17/2024,5,Electronics,C1180,1302.7
20672,Laptop,Central,4390.35,6/27/2024,1,Electronics,C1499,1431.63
4013,Headphones,West,4067.7,8/30/2024,5,Office Supplies,C1321,694.2
18178,Laptop,South,923.12,2/16/2025,1,Accessories,C1362,108.41
8777,Keyboard,East,1445.36,8/5/2024,3,Clothing,C1119,202.01
15831,Headphones,Central,1461.6,6/24/2025,5,Electronics,C1349,281.71
45710,Mobile,,2966.88,11/11/2025,4,Clothing,C1460,672.31
1869,Mouse,West ,2579.05,,3,Clothing,C1194,728.73
7584,Camera,,4200.31,12/13/2024,1,Electronics,C1181,664.13
46986,Keyboard,east,171.83,6/18/2024,1,Clothing,C1117,44.23
31331,Monitor,,3091.52,2/9/2024,3,Office Supplies,C1115,667.51
47779,Mobile,,2554.39,11/6/2025,1,Clothing,C1308,340.01
21514,Monitor,Central,5498.76,10/27/2025,1,Office Supplies,C1321,1608.26
11748,Headphones,East,4184.05,11/5/2024,1,Furniture,C1293,1153.49
46739,Keyboard,East,474.04,12/18/2023,4,Electronics,C1007,107.68
36285,Mouse,West,2171.31,1/26/2025,5,Clothing,C1253,533.72
46479,,North,4648.62,3/11/2025,2,Electronics,C1042,1401.59
30070,Mobile,,2172.95,2/28/2024,1,Clothing,C1478,271.83
31953,Headphones,South,941.88,12/30/2025,3,Accessories,C1159,117.38
19779,Laptop,north ,1740.49,12/25/2024,2,Electronics,C1281,417.25
48999,Printer, SOUTH,3630.99,3/2/2026,3,Furniture,C1483,1017.82
44984,Camera,South,4479.08,8/21/2024,4,Office Supplies,C1394,1098.7
24979,Headphones,,1620.08,5/26/2025,1,Accessories,C1139,181.38
43485,Mouse,,4772.4,12/19/2025,3,Accessories,C1108,1457.1
36577,Smartwatch,West,1714.09,6/18/2024,4,Furniture,C1003,286.74
10227,Smartwatch,north ,3576.23,2/3/2025,4,Furniture,C1159,587.6
42332,Camera,,729.23,9/14/2024,4,Office Supplies,C1361,113.47
33253,Monitor,North,2910.58,11/17/2024,2,Accessories,C1478,740.58
42933,Headphones,West ,2448.67,6/20/2025,5,Clothing,C1294,850.2
19901,Headphones,east,1865.78,9/24/2025,3,Clothing,C1392,524.85
19771,Monitor, SOUTH,2387.6,10/15/2024,4,Accessories,C1272,364.45
612,Mouse,north ,2253.02,3/1/2026,5,Furniture,C1313,527.08
39059,Tablet,West ,847.57,1/26/2025,2,Furniture,C1033,240.36
29659,Laptop,east,2448.61,4/11/2025,4,Electronics,C1116,830.1
37284,Smartwatch,South,-2364.49,1/7/2025,2,Clothing,C1179,-600.5
15853,Printer,East,2959.56,3/25/2024,2,Office Supplies,C1285,877.34
14152,Laptop,Central,2514.83,1/3/2025,2,Clothing,C1369,344.64
3533,Printer,Central,3752.62,7/6/2025,1,Accessories,C1070,1118.14
41254,Smartwatch,,3960.15,10/7/2025,2,Accessories,C1247,1200.19
21422,Smartwatch,East,2229.25,9/1/2025,4,Electronics,C1013,230.53
17106,Mobile,,1183.28,11/18/2024,3,Office Supplies,C1444,202.34
8716,,,2408.79,,3,Electronics,C1101,565.09
18539,Smartwatch,South,3848.91,4/1/2025,4,Clothing,C1307,876.14
48896,Laptop,,3263.08,5/3/2026,2,Furniture,C1026,689.55
22472,Printer,South,650.54,10/11/2025,5,Furniture,C1221,208.19
25396,Mobile,,2804.18,8/8/2024,5,Furniture,C1144,373.61
28281,Laptop,North,3527.49,6/30/2024,2,Furniture,C1220,619.97
27171,Headphones,West ,3831.42,8/5/2025,3,Electronics,C1040,1075.35
10357,Laptop,east,3177.51,11/24/2024,3,Office Supplies,C1231,332.11
37575,Mobile,north ,871.07,1/31/2026,2,Accessories,C1224,268.44
26002,Mouse,,2502.92,9/1/2024,1,Accessories,C1443,399.82
7565,Camera,West,4765.45,4/4/2025,4,Furniture,C1033,1107.02
21474,Laptop,West ,938.56,1/7/2026,2,Furniture,C1092,261.81
27326,Laptop,,2710.98,12/12/2024,5,Electronics,C1369,445.27
45075,Smartwatch,North,555.99,12/17/2025,1,Accessories,C1013,190.4
4520,Mouse,West ,3350.78,11/18/2025,3,Accessories,C1244,809.28
26997,Tablet, SOUTH,3581.25,1/25/2025,1,Office Supplies,C1348,580.41
37673,Mobile,West ,3754.36,2/9/2025,5,Electronics,C1209,845.04
43381,Camera,,3476.38,1/17/2024,5,Furniture,C1043,834.32
10123,Monitor,West,2392.38,5/17/2025,2,Electronics,C1491,541
36609,Monitor,West ,1827.4,11/26/2024,1,Furniture,C1397,553.57
20289,Keyboard,East,4103.52,7/10/2025,4,Electronics,C1080,846.31
36663,Printer,east,534.95,4/4/2024,2,Clothing,C1154,149.46
27173,Laptop, SOUTH,828.36,11/21/2024,2,Office Supplies,C1006,265.33
5841,Laptop,Central,1898.7,9/24/2024,1,Clothing,C1102,528.41
29655,Headphones,,4940.95,3/28/2025,4,Clothing,C1385,703.6
36354,Headphones, SOUTH,5374.53,3/24/2026,1,Office Supplies,C1050,874.74
33460,Printer,South,526,4/11/2025,1,Accessories,C1415,68.13
9828,Printer, SOUTH,2476.38,9/2/2025,2,Electronics,C1238,350.06
34221,Printer,North,-3684.7,12/26/2024,5,Accessories,C1074,-718.21
9333,Smartwatch,West,3821.98,1/13/2026,2,Electronics,C1288,959.46
26328,Mouse,Central,2547.31,5/26/2025,4,Clothing,C1362,487.99
6026,Smartwatch,,3931.33,12/8/2025,1,Furniture,C1334,585.02
12908,Printer,West ,1393.63,8/31/2024,1,Accessories,C1306,324.9
11856,Keyboard,South,4826.36,2/27/2026,5,Office Supplies,C1029,1539.68
10748,Mouse,east,1620.58,10/9/2024,1,Accessories,C1221,320.43
40659,Keyboard,,473.3,7/11/2024,5,Office Supplies,C1211,154.72
31163,Headphones,,1410.43,1/9/2024,2,Electronics,C1270,446.67
40588,Smartwatch, SOUTH,543.05,6/7/2024,2,Furniture,C1263,70.33
20599,Smartwatch,Central,909.6,2/28/2024,3,Furniture,C1394,149.77
1030,Laptop,north ,508.41,2/23/2026,1,Office Supplies,C1223,91.43
37667,Laptop,West ,2255.21,8/25/2024,1,Office Supplies,C1076,727.7
26917,Mouse,,5579.84,10/10/2025,5,Accessories,C1064,1672.31
24764,Mouse,North,4535.58,5/25/2024,3,Furniture,C1161,1449.75
46223,Camera,east,2628.96,11/19/2025,2,Office Supplies,C1086,716.62
3903,Laptop,east,517.45,12/18/2024,1,Office Supplies,C1267,95.81
6237,Smartwatch,North,1430.53,4/4/2024,3,Clothing,C1158,167.63
47256,Printer,,156.85,9/28/2025,1,Clothing,C1482,38.87
20453,Printer,Central,2464.87,12/30/2024,5,Office Supplies,C1499,479.83
29674,Tablet,East,4077.09,12/2/2024,2,Office Supplies,C1277,1213.03
25344,Mobile,West,-3571.48,7/20/2025,5,Accessories,C1386,-1203.3
40119,Tablet,,3176.97,4/1/2025,3,Clothing,C1058,1081.17
22317,Mobile,North,418.56,10/20/2024,5,Office Supplies,C1282,91.23
17662,,North,527.51,10/14/2024,3,Office Supplies,C1304,137.5
23517,Printer,North,578.5,2/15/2025,1,Accessories,C1123,92.68
23606,Tablet, SOUTH,1751.87,2/7/2024,1,Clothing,C1327,357.63
768,Mouse,West ,4868.09,4/3/2025,3,Furniture,C1274,1187.41
46409,Tablet,West,970.84,6/26/2025,4,Office Supplies,C1469,288.48
47020,Mouse,South,1251,10/9/2024,3,Office Supplies,C1015,430.6
6145,Mouse, SOUTH,1250.14,2/24/2026,3,Clothing,C1277,176.13
1909,Mobile,South,947.01,2/22/2026,3,Furniture,C1284,196.85
33064,Mobile,Central,2563.88,10/19/2024,2,Office Supplies,C1422,410.17
28450,Laptop,South,2370.87,10/5/2025,5,Clothing,C1032,618.33
22881,Mouse,West,350.34,5/28/2025,3,Electronics,C1462,119.57
17232,Mobile,South,2907.19,4/18/2024,1,Accessories,C1224,741.23
23886,Mouse,South,1396.81,6/8/2025,1,Clothing,C1374,352.25
10295,Smartwatch,north ,4418.33,9/4/2025,5,Office Supplies,C1344,579.56
47720,Smartwatch,East,1468.32,1/7/2025,2,Accessories,C1020,341.16
8290,Mouse,East,1877.82,9/23/2024,1,Clothing,C1481,371.53
37080,Mobile,Central,3203.15,7/13/2025,1,Electronics,C1271,694.08
36208,Smartwatch,North,2289.3,10/27/2025,4,Accessories,C1379,662.58
16287,Mobile,north ,5422,8/29/2024,4,Clothing,C1284,654.39
31265,Laptop,West,2356.65,3/3/2025,5,Furniture,C1351,732.32
7883,Keyboard,East,4760.9,11/26/2024,1,Electronics,C1218,820.58
5322,Mouse,,,6/9/2024,2,Furniture,C1118,749.62
9751,Laptop, SOUTH,3865.85,9/16/2025,5,Electronics,C1406,962.93
31402,Mobile, SOUTH,4315.53,10/14/2024,3,Accessories,C1324,1423.08
17413,Mouse,east,442.21,8/3/2024,2,Furniture,C1442,145.3
17773,Printer,South,1907.53,10/14/2025,2,Furniture,C1171,402.16
34544,Tablet,North,345.09,11/9/2025,5,Clothing,C1125,117.19
29236,Headphones,,4168.44,2/16/2026,1,Accessories,C1487,1258.93
9325,Laptop,,1782.88,5/28/2024,5,Accessories,C1397,587.92
24800,Headphones,,4372.27,7/17/2025,5,Clothing,C1016,511.26
20030,Mobile,east,5039.63,9/2/2025,4,Office Supplies,C1025,593.71
23635,Monitor,North,996.22,8/13/2025,4,Electronics,C1076,155.74
10654,Headphones,east,642.17,4/27/2025,3,Accessories,C1274,140.5
40456,Mouse,South,1434.32,1/17/2025,5,Office Supplies,C1386,414.29
16611,Laptop,Central,3960.2,4/1/2025,3,Furniture,C1128,1224.49
35324,,East,681.47,1/22/2026,4,Furniture,C1447,164.52
24875,Printer,South,290.85,8/4/2025,1,Office Supplies,C1329,77.82
12603,Keyboard,West ,3736.64,6/29/2025,3,Office Supplies,C1394,1044.35
43207,Mobile,Central,3977.79,6/19/2025,4,Furniture,C1356,1024.93
10820,Mobile,West,4488,3/25/2025,1,Furniture,C1394,1028.68
24542,Mobile, SOUTH,1133.78,9/19/2025,1,Accessories,C1156,315.14
26726,Mouse,North,2255.99,6/7/2025,4,Furniture,C1379,616.71
35360,Smartwatch,West,5188.63,6/16/2024,2,Office Supplies,C1347,1546.68
42207,Camera, SOUTH,-606.22,7/12/2024,4,Accessories,C1145,-68.11
32121,Tablet,,2964.73,2/23/2025,5,Furniture,C1071,827.2
16730,Mobile, SOUTH,2142.11,3/19/2025,1,Furniture,C1407,603.89
26680,Printer,East,4194.19,3/22/2024,1,Electronics,C1199,1033.08
24281,Mouse,South,1257.66,12/1/2025,2,Office Supplies,C1396,141.26
38776,Camera,east,3635.23,9/1/2024,3,Clothing,C1216,560.69
16932,, SOUTH,1168.53,7/22/2024,2,Electronics,C1033,191.88
42205,Laptop,North,427.77,3/14/2025,5,Clothing,C1062,132.64
17973,Headphones,,1967.43,3/14/2024,1,Clothing,C1213,350.75
32899,Laptop,north ,3161.72,5/24/2025,2,Accessories,C1012,496.95
2506,Printer,West,1126.32,3/19/2025,1,Accessories,C1460,230.46
33330,Mobile,north ,4196.51,8/27/2024,2,Accessories,C1019,449.52
6698,Smartwatch,north ,2107.93,7/14/2024,4,Clothing,C1291,697.67
19734,Monitor,South,1653.46,4/30/2024,4,Accessories,C1157,297.91
45932,Laptop,east,3918.41,4/18/2026,1,Furniture,C1064,932.3
38714,Laptop,South,5423.39,4/25/2026,4,Clothing,C1087,1036.35
16754,Laptop,Central,306.89,2/15/2024,5,Office Supplies,C1186,46.16
40022,Camera,West ,1120.91,1/29/2025,2,Electronics,C1243,226.55
43175,Headphones,West ,2653.68,3/31/2024,2,Accessories,C1054,612.73
5506,Camera,East,704.74,9/28/2025,5,Electronics,C1049,148.85
33352,Tablet,West,1063.37,7/7/2025,1,Office Supplies,C1144,218.04
37013,Laptop,North,1015.93,12/15/2024,4,Furniture,C1103,250.78
34653,Headphones,,1067.22,1/21/2025,2,Furniture,C1139,248.57
17539,Tablet, SOUTH,3296.67,12/16/2024,4,Office Supplies,C1019,1080.81
39817,Tablet,South,2710.28,3/8/2025,4,Office Supplies,C1178,832.47
11116,Tablet,South,1101.34,2/17/2025,4,Office Supplies,C1021,324.4
47213,Smartwatch, SOUTH,2897.93,6/19/2025,4,Clothing,C1113,576.78
11652,Laptop,South,2427.58,,5,Furniture,C1442,344.18
28634,Smartwatch,Central,807.65,11/16/2025,3,Electronics,C1464,81.35
3587,Printer,North,1824.85,7/21/2025,4,Accessories,C1115,349.35
1234,Smartwatch,north ,544.28,5/27/2025,5,Office Supplies,C1202,59.48
45286,Keyboard,east,1179.24,2/8/2025,1,Office Supplies,C1289,402.74
39441,Camera,,347.56,9/23/2025,1,Electronics,C1427,107.47
21209,Tablet,east,3554.71,8/27/2025,1,Electronics,C1355,964.4
8554,Mobile,north ,255.14,9/5/2024,2,Office Supplies,C1349,46.79
10136,Tablet,,4095.23,11/6/2024,5,Accessories,C1207,1225.86
11609,Camera, SOUTH,909.6,,2,Office Supplies,C1313,128.85
