id,total_sales,average_sales,monthly_growth_percent,top_product,best_region,month
162,144691.98,4796.82,-12.57,Laptop,,Aug
163,108995.08,3421.49,2.88,Camera,,MAR
164,,936.25,19.55,Camera,West,Aug
165,170023.94,1934.21,38.28,Laptop,North,Oct
166,137199.35,1668.71,23.2,Tablet,,September
167,84655.01,1761.57,15.31,Printer,West ,MAR
168,-93562.99,1102.68,7.24,Mouse,West,May
169,57578.59,4591.23,-7.41,Keyboard,,September
170,187872.72,447.9,-16.01,Monitor,East,September
171,129372.24,727.01,25.12,Headphones,West,Jan
172,77108.16,4605.43,4.9,Keyboard, SOUTH,apr
173,23906.01,1810.08,35.28,Laptop,North,June
174,152664.39,2809.28,-12.62,Monitor,West ,apr
175,66817.96,1161.81,-3.66,Mobile,north ,February
176,124607.86,4317.64,14.98,Laptop,,dec
177,157009.65,3115.83,34.64,Printer,East,February
178,100223.95,2384.45,23.49,Keyboard,,MAR
179,80072.29,3982.62,-9.91,Monitor,,Oct
180,184140.48,1332.04,30.62,Tablet,West ,jul
181,116404.24,1764.59,27.05,Mouse,Central,Jan
182,185434.54,2770.65,19.59,Laptop,North,apr
183,49813.77,3047.94,30.28,Headphones,West,MAR
184,168892.29,846.34,-8.82,Keyboard,South,jul
185,35528.8,506.64,-19.03,Monitor,East,May
186,30572.12,4463.77,-4.93,Keyboard,West,NOV
187,171483.82,235.47,0.98,Printer, SOUTH,June
188,55718.99,3179.16,23.64,Monitor,North,Oct
189,21779.24,1123.34,10.43,Tablet,,apr
190,164398.43,4554.47,-6.01,Headphones,West,September
191,134515.68,,19.03,Camera,West ,May
192,-165289.35,4632.51,-10.44,Mouse,West ,September
193,,2300.13,,Monitor,,apr
194,95768.83,3513.89,-13.36,Mouse,,NOV
195,72071.2,2320.18,13.03,Tablet,East,Jan
196,197585.95,,31.62,Mobile,East,June
197,41799.55,3014.28,1.31,Camera,West,apr
198,,1797.35,-10.88,Printer,East,
199,50414.46,458.78,-15.27,Tablet,West,May
200,63361.91,4378.13,-15.86,Tablet,,Jan
201,8078.41,1154.72,9.63,Smartwatch,,dec
202,132011.5,2870.58,-1.55,Camera,,Aug
203,88890.42,3907.11,6.16,Smartwatch,east,September
204,67715.78,2495.08,17.91,Headphones,north ,apr
205,78742.26,4501.45,-11.99,Keyboard,North,February
206,139984.31,493.13,10.9,Mobile,north ,apr
207,139910.78,4060.79,-0.25,Monitor,East,MAR
208,85373.68,1458.32,36.06,Keyboard,,June
209,166495.32,3507.99,14.23,Headphones,north ,June
210,170820.54,3447.91,0.91,Mouse,,apr
211,36014.28,991.25,-8.97,Headphones,West ,February
212,111095.59,677.92,17.96,Smartwatch,East,dec
213,51531.41,4236.33,1.64,Camera,East,September
214,142375.41,3161.8,23.94,Mouse,Central,Oct
215,139035.49,2185.4,-3.81,Laptop,Central,February
216,72667.63,1324.89,37.93,Mouse,north ,June
217,114013.02,336.26,-11.06,Mouse,east,May
218,36972.45,3405.95,36.26,Monitor,north ,February
219,192405.5,3621.8,18.76,Laptop,South,June
220,130878.94,870.93,20.02,Tablet,,February
221,17304.95,2987.1,19.48,Smartwatch,North,June
222,146962.83,868.47,33.94,Laptop,North,apr
223,61443.97,4784.87,,Smartwatch,,May
224,195896.8,949.14,-18.48,Camera,,NOV
225,170120.97,1912.19,-3.63,Smartwatch,,apr
226,177219.72,414.08,-4.05,Camera,West ,Aug
227,64935.6,331.67,33.13,Laptop,,September
228,122933.49,2100.05,-17.32,Laptop,South,June
229,93588.88,3520.24,-3.89,Monitor, SOUTH,MAR
230,140021.43,3666.62,-5.89,Monitor,east,jul
231,173057.22,3871.63,23.57,Keyboard,West,apr
232,46010.35,4296.76,24.77,Keyboard,east,May
233,146527.54,4227.1,4.18,Printer,north ,jul
234,105433.32,1904.67,-4.68,Camera,North,June
235,25630.38,3156.93,,Keyboard,East,June
236,-192106.58,2476.48,-14.41,Camera,East,February
237,106848.5,924.6,26.52,Mouse,South,May
238,-45868.64,3426.26,7.9,Keyboard, SOUTH,Oct
239,185012.55,1122.76,-12.16,Tablet,,Aug
240,15190.92,4572.23,32.82,Tablet,,February
241,191006.11,4513.03,-14.61,Laptop, SOUTH,Jan
242,171665.12,3220.46,38.31,Tablet,West ,September
243,,1842.21,6.79,Keyboard,South,
244,73373.2,1078.97,,Mobile,,MAR
245,149406.68,378.31,-6.2,Mobile, SOUTH,Jan
246,29349.07,467.22,26.03,Mobile,North,February
247,8720.46,3516.41,35.48,Monitor,East,June
248,156551.99,2140.78,20.83,Laptop,Central,Oct
249,84554.47,4666.42,21.41,Camera,north ,Jan
250,30353.73,4212.5,5.77,Mobile,east,Jan
251,194433.06,1165.96,18.53,,,Jan
252,172520.51,4435.42,3.08,Printer, SOUTH,
253,111379.28,3215.93,19.88,Mouse,,May
254,113265.1,729.56,14.77,Headphones,,Aug
255,84848.97,2700.22,28.07,Headphones,North,Jan
256,181595.86,2434.77,-18.45,Camera,Central,dec
257,80345.59,4582.35,-15.59,Smartwatch,East,
258,119828.73,4407.09,1.77,Keyboard,South,NOV
259,119462.35,1544.44,1.73,Mouse,North,apr
260,63127.63,2912.82,13.92,Headphones,,
261,20163.12,4358.59,-17.18,Headphones,South,Oct
262,97765.41,4906.31,-13.84,Mobile,,MAR
263,160862.63,1376.73,-4.0,Mouse,North,Aug
264,42508.5,2913.83,-0.99,Tablet,Central,
265,173967.81,2910.9,7.95,Keyboard,West ,September
266,151156.34,2426.79,8.8,Smartwatch, SOUTH,September
267,117293.4,3275.18,-17.69,Mobile,Central,MAR
268,122359.44,4811.54,36.57,Mouse, SOUTH,June
269,59934.3,3293.85,3.05,Mouse,West,apr
270,,2964.4,-11.95,Smartwatch,east,May
271,71564.54,473.19,4.45,Smartwatch,,
272,131098.67,1231.26,7.95,Tablet,Central,dec
273,173115.26,3616.18,37.9,Keyboard,Central,apr
274,158942.81,4020.93,-13.77,Tablet,east,
275,196402.43,1062.42,19.25,Printer,West,September
276,87704.1,2756.1,36.44,Mobile,West,MAR
277,95246.84,4333.9,-16.44,Mobile,,May
278,156228.02,1437.28,10.11,Monitor,,dec
279,168279.01,376.63,32.49,Monitor,,dec
280,117536.23,590.2,11.19,Smartwatch,,June
281,94029.33,4386.18,26.28,Mouse,South,NOV
282,106540.1,3856.78,23.06,,east,dec
283,177861.99,4848.15,31.65,Keyboard,West,jul
284,103021.81,3171.09,2.63,Laptop,Central,
285,179611.48,3307.1,1.86,Camera,East,dec
286,42519.11,2925.98,29.48,Camera,east,Oct
287,89943.9,3358.48,20.32,Monitor,North,Aug
288,148925.72,801.95,-4.48,Monitor,east,
289,196389.87,3739.06,-6.93,Tablet,,Oct
290,180878.77,4792.91,31.61,Mouse,,dec
291,39351.66,3032.81,1.94,Mouse,,jul
292,,4715.15,7.73,Monitor,East,June
293,53268.33,4351.98,-16.61,Mouse,West,MAR
294,191028.68,4256.48,-1.88,Smartwatch,,Aug
295,28255.17,3332.54,7.9,Tablet,east,NOV
296,9053.3,3945.66,26.2,Monitor,North,February
297,,1517.87,3.79,Keyboard,West,Oct
298,31333.59,1775.94,-14.91,Headphones,North,Oct
299,86240.29,682.82,-4.96,Smartwatch,,Aug
300,17211.93,1398.83,6.21,Laptop,West ,Oct
301,125935.63,882.89,26.54,Tablet,north ,NOV
302,29721.66,4334.51,1.71,Mobile,West,September
303,129097.31,824.71,-16.04,Smartwatch, SOUTH,jul
304,150209.49,1148.07,21.19,Laptop,West,February
305,143039.23,2694.89,12.08,Camera,North,dec
306,153012.71,2908.85,2.06,Laptop,West ,MAR
307,31708.93,812.54,32.16,Laptop, SOUTH,Jan
308,152710.39,3765.92,21.98,Keyboard,North,Jan
309,10167.21,1249.44,2.77,Laptop,East,jul
310,118023.5,4248.13,-15.7,Monitor,,June
311,195772.92,2585.06,14.8,Smartwatch,West ,MAR
312,81855.88,2563.42,-15.23,Monitor,East,jul
313,125728.62,2148.09,4.5,Keyboard, SOUTH,jul
314,132505.37,4299.66,21.86,Laptop,east,
315,188537.69,,8.82,Smartwatch,West ,February
316,143981.94,1710.74,-3.97,Camera,West ,apr
317,25097.07,1786.51,19.29,Printer,East,September
318,89456.66,2038.94,31.0,Tablet, SOUTH,NOV
319,106517.55,473.3,8.99,Tablet,West,
320,44671.21,4989.12,6.18,Printer,East,September
321,52209.3,,-7.72,Keyboard,South,June
322,25489.19,2667.68,-16.22,Camera,South,May
323,64339.38,2930.68,-8.44,Tablet,,Aug
324,44135.68,3117.07,-15.74,Headphones,,February
325,144781.3,2990.28,17.74,Laptop,Central,apr
326,188568.04,4415.87,39.48,Smartwatch,East,September
327,125901.02,3579.67,24.75,Mobile,South,jul
328,21408.62,4948.62,26.05,Monitor,North,Aug
329,145270.5,3483.95,5.83,Camera,,February
330,185941.8,4530.86,23.91,Camera,,June
331,-190660.5,1142.0,-7.28,Camera,South,May
332,166724.64,1271.48,32.61,Camera,north ,June
333,152520.96,3143.1,-11.14,Smartwatch,West,September
334,167401.52,1745.73,20.17,Camera,Central,apr
335,124482.82,2839.05,33.23,Tablet,South,June
336,148355.0,487.5,16.54,Laptop,Central,September
337,128659.19,229.63,14.8,Camera,east,Oct
338,55788.66,4552.95,4.96,Tablet,South,Oct
339,182942.37,2279.89,18.93,Printer,South,MAR
340,106959.74,3986.68,14.78,Smartwatch,West,Oct
341,149330.11,3390.56,23.0,Laptop,East,May
342,90501.87,1052.31,10.29,Monitor,Central,jul
343,64180.37,2332.71,36.0,,east,jul
344,-17726.84,1648.75,-13.33,, SOUTH,
345,121202.72,1677.14,-6.71,Smartwatch,,Jan
346,135681.87,490.76,21.86,Headphones,West,Aug
347,,2812.95,,Keyboard,north ,apr
348,161719.93,4062.35,-1.52,Mobile, SOUTH,MAR
349,35711.79,1742.6,37.23,Headphones,East,MAR
350,160700.04,213.98,25.83,Tablet,West,dec
351,92409.58,3491.48,22.42,Printer,north ,MAR
352,131981.43,917.26,-7.26,Smartwatch,north ,dec
353,23823.44,3492.31,1.85,Keyboard,East,June
354,90736.09,1046.88,20.31,,,Jan
355,80832.0,1972.99,3.77,Mouse,East,MAR
356,66015.27,3758.41,-18.23,Keyboard,,apr
357,62619.05,2889.12,29.08,Smartwatch,South,dec
358,123789.83,4989.44,0.01,Mobile,,June
359,44362.94,301.24,-0.46,Smartwatch,Central,apr
360,182436.72,,-7.88,Printer, SOUTH,Jan
361,119289.5,3766.48,-11.51,,,June
362,178414.66,4325.26,32.24,Mobile,east,June
363,102809.41,2120.84,-2.07,Printer,East,Jan
364,91454.08,245.08,16.82,Camera,,June
365,32182.94,2445.56,37.03,Smartwatch,Central,February
366,21699.9,2141.09,2.87,Mobile,East,Jan
367,96635.85,4523.87,26.16,Mobile,north ,apr
368,185614.16,2637.56,27.67,Tablet,South,February
369,100065.04,3250.91,32.72,Smartwatch,north ,May
370,-35921.39,935.9,-10.75,Headphones,West ,February
371,119061.54,,32.16,Mobile,East,
372,33427.09,2692.6,20.48,Keyboard,South,February
373,30243.93,1125.64,35.74,Mouse,,
374,169615.02,232.5,2.78,Monitor,Central,apr
375,22917.36,4902.72,-4.3,Tablet,east,apr
376,191375.94,1867.19,-9.02,Tablet,north ,Aug
377,39208.84,3493.24,3.26,Tablet,east,February
378,44870.39,2315.02,-19.99,Laptop,East,MAR
379,118615.6,437.13,15.09,Camera,West,
380,118997.8,2300.83,-15.16,Headphones,north ,
381,193953.66,3442.04,20.06,Tablet,north ,Jan
382,133085.67,1000.97,38.99,Keyboard,South,February
383,94935.77,1363.16,12.89,Monitor, SOUTH,Oct
384,114147.54,3953.13,-1.64,Tablet,,February
385,44036.05,3313.27,-5.35,Mobile,,Jan
386,9912.56,997.65,16.8,Keyboard,East,
387,118892.71,1967.74,-15.32,Mobile,east,Aug
388,122442.57,2777.34,-1.34,Mouse,South,Aug
389,126377.99,2074.83,-12.9,Headphones,North,NOV
390,37091.25,3390.89,2.63,Printer,East,May
391,7444.21,387.12,-1.88,Monitor,East,Jan
392,180694.73,4689.59,-15.9,Camera,,dec
393,39008.0,3722.16,5.03,Keyboard,West ,June
394,104034.06,366.41,23.51,Mobile,South,MAR
395,157985.13,1611.37,11.0,Headphones,West ,September
396,166471.06,3364.71,19.2,Printer,South,apr
397,30959.65,4691.0,-10.88,Headphones,Central,
398,6292.2,1390.7,-3.71,Tablet,South,
399,,,-4.45,Tablet,north ,apr
400,7303.57,210.11,24.05,Camera, SOUTH,Oct
401,60583.4,4801.63,25.63,Tablet,West,NOV
402,38605.28,2997.8,-14.91,Printer,north ,February
403,106121.35,,-18.35,Tablet,North,February
404,26947.22,895.59,8.02,Printer,,dec
405,111253.24,4263.62,-8.71,Keyboard,,Oct
406,197415.46,3795.89,2.93,Tablet,North,
407,13811.61,665.37,-14.39,Smartwatch,north ,February
408,50247.53,407.94,29.83,Camera, SOUTH,NOV
409,68335.24,2288.28,26.14,Smartwatch,West,NOV
410,104162.2,4572.02,0.78,Mouse,north ,Jan
411,92692.06,281.38,37.31,Printer, SOUTH,Jan
412,100024.52,3511.82,4.83,Headphones,Central,MAR
413,173739.41,3191.45,-15.06,Mobile,West,NOV
414,154086.85,,-10.3,Mobile,,jul
415,110019.19,3639.2,7.44,Monitor,West,
416,64804.08,3336.03,15.88,Keyboard,east,
417,22018.08,831.18,-4.14,Tablet,South,
418,131103.26,605.76,16.69,Monitor,North,May
419,59644.36,3321.59,,Monitor,east,May
420,170358.1,1036.07,,Monitor, SOUTH,Oct
421,194695.23,2718.58,15.06,Keyboard,South,June
422,126067.58,4992.01,34.89,Tablet,north ,
423,145525.8,495.69,-13.95,Headphones,,May
424,45468.79,4300.57,37.77,Mobile,east,jul
425,196372.71,3331.59,11.98,Keyboard,north ,Oct
426,63054.11,2950.95,-7.28,Smartwatch,,apr
427,126848.58,3145.78,-5.32,Keyboard,,Jan
428,169534.83,676.51,39.66,Laptop,Central,May
429,32552.72,1449.64,21.47,Laptop,north ,February
430,135416.31,4230.55,39.56,Headphones,east,NOV
431,184882.43,1317.08,-2.94,Monitor,,jul
432,145210.96,1913.93,-2.32,Laptop,East,NOV
433,79762.13,4876.75,-2.96,Keyboard,Central,
434,5771.05,2683.45,-12.98,Camera,,Jan
435,47757.52,3913.94,8.11,Mouse,West,Jan
436,63268.86,4673.86,,Camera,north ,Aug
437,138516.54,1321.1,0.25,Keyboard,West,June
438,98317.45,1680.99,-5.22,Printer,North,February
439,39768.28,470.71,-9.35,Monitor,north ,Oct
440,155901.24,404.28,16.35,Mouse,South,dec
441,86597.79,1274.12,2.66,Printer, SOUTH,jul
442,-20110.96,3101.2,10.51,Camera,South,Jan
443,37412.3,1085.4,-10.46,Keyboard,Central,Aug
444,9666.79,2130.87,38.35,Monitor,West,June
445,178253.41,2549.9,19.23,Keyboard,North,September
446,199386.89,619.6,18.28,Laptop,,dec
447,97512.77,3115.35,2.06,Tablet,East,Oct
448,154564.11,3857.3,21.13,Printer,,apr
449,50711.53,3169.85,16.69,Smartwatch,,February
450,38139.02,3668.61,6.03,Monitor,east,
451,181146.52,1008.42,10.62,Laptop,Central,February
452,52379.01,1317.5,38.77,Camera,South,Jan
453,72643.7,229.5,39.31,Mouse,West,NOV
454,178272.82,2164.2,25.66,Headphones, SOUTH,September
455,120321.01,2439.57,0.49,,east,MAR
456,132157.0,1769.93,37.12,Tablet, SOUTH,February
457,88800.57,1604.7,-10.16,Tablet,,NOV
458,112757.97,4904.74,34.55,Printer,,apr
459,94442.88,2333.23,2.74,Printer,East,Jan
460,46065.4,,19.61,Camera,,jul
461,83283.34,1407.16,7.05,Smartwatch,East,Jan
462,109817.79,2372.29,16.15,Tablet,East,Aug
463,73183.24,1774.13,9.5,Mouse,East,June
464,12804.18,2535.25,23.27,Tablet,West,Oct
465,122603.25,4563.87,23.65,Mobile,South,MAR
466,118041.48,2073.55,20.25,Camera,Central,Oct
467,67181.41,1107.44,4.28,Keyboard,Central,September
468,184437.42,2994.71,-16.49,Printer,West ,February
469,165345.92,349.42,-2.13,Tablet,east,September
470,50773.23,4751.4,34.21,Smartwatch,South,June
471,18165.31,4799.69,5.22,,East,February
472,92791.71,2403.94,4.67,Mobile,West,MAR
473,162013.53,3213.29,13.07,Headphones,West ,jul
474,149162.56,1817.99,20.1,Camera,,MAR
475,19963.21,4392.45,-16.27,Mouse,Central,February
476,177887.56,4244.41,-18.69,Smartwatch,East,MAR
477,53528.75,2458.19,33.38,Printer,Central,apr
478,81560.8,2908.77,27.55,Headphones,East,
479,77681.74,4597.97,15.68,,West,June
480,44639.21,1763.53,28.95,Printer,north ,MAR
481,161190.09,2705.49,38.85,Tablet, SOUTH,February
482,14931.86,212.65,34.22,Mobile, SOUTH,Oct
483,108753.49,4487.75,-18.08,Headphones,South,jul
484,9514.15,3810.96,7.11,Camera,North,Jan
485,64807.01,2460.38,-10.5,Headphones,West,Aug
486,55058.76,2133.02,-2.43,Headphones,Central,Jan
487,100853.68,702.43,1.66,Laptop,east,dec
488,94100.18,2933.27,-8.19,Camera,East,dec
489,60557.16,1838.01,-1.19,,West,MAR
490,81892.82,1747.88,-3.63,Tablet,East,apr
491,92949.42,4026.73,24.09,Headphones,West,Aug
492,-97314.95,353.96,17.46,Keyboard, SOUTH,May
493,70035.2,4076.51,34.88,Smartwatch,West,dec
494,7384.32,558.52,-11.47,,West,Aug
495,18374.67,3629.5,-0.88,Camera,north ,September
496,146385.99,1578.43,8.22,Smartwatch, SOUTH,Jan
497,73610.07,2218.77,9.98,Monitor,,Oct
498,86068.22,668.23,24.67,Keyboard,West ,apr
499,149062.44,1366.04,5.0,Headphones,South,Jan
500,113743.58,1839.01,28.48,Monitor,Central,June
501,,1484.37,23.64,Printer,east,jul
502,25504.44,1495.99,9.0,Mouse,Central,June
503,184915.22,3097.69,10.96,Printer,Central,dec
504,5863.78,2108.86,6.06,Laptop,West,Aug
505,196133.78,3582.92,-8.9,Printer,East,MAR
506,53831.82,2577.73,15.54,Keyboard,,Jan
507,79054.43,504.85,21.14,Smartwatch,North,jul
508,132633.4,2734.31,-16.83,Tablet,Central,September
509,23556.24,4041.23,,Smartwatch,,NOV
510,18326.25,4480.8,,Monitor,east,apr
511,82201.4,203.96,25.64,Camera,North,apr
512,131788.49,1530.09,10.55,Tablet,,jul
513,153026.57,2559.95,-13.0,Smartwatch,north ,Oct
514,,3793.76,15.56,Printer,North,
515,57807.15,2626.73,7.46,Mouse,,dec
516,34187.21,2588.65,25.06,Camera,east,June
517,121835.74,3093.12,-3.97,Monitor,Central,
518,17429.11,443.92,31.81,Monitor,north ,jul
519,125084.54,4696.56,8.33,Mouse,West,September
520,63361.41,2001.28,12.27,Keyboard,east,MAR
521,197538.2,1991.53,-14.03,Tablet,North,dec
522,79739.92,,17.92,Headphones,West,jul
523,27791.55,3216.2,27.61,Monitor,West,Aug
524,143398.6,2657.11,-10.62,Mouse,Central,dec
525,140547.91,2974.75,2.52,,North,
526,117517.54,3918.16,10.83,Laptop,South,Jan
527,38898.58,2486.59,24.25,Keyboard,east,jul
528,188499.4,3573.72,,Camera,,jul
529,-68429.93,1816.43,25.72,Tablet,,jul
530,14860.91,2711.67,32.52,Tablet,East,Aug
531,9573.55,1126.81,7.22,Headphones,East,June
532,11159.3,3889.93,18.76,Printer,South,NOV
533,117908.11,3170.95,23.16,Keyboard,South,MAR
534,109924.68,604.7,-19.9,Smartwatch,,Aug
